latency_ns,count
18,7
19,191
20,1147
20,975
21,2319
22,2077
23,1358
23,1126
24,951
25,848
26,1176
26,1529
27,1647
28,1578
29,2184
29,2670
30,3201
31,3620
31,4319
32,4240
33,4425
34,5127
34,6054
35,6352
36,6405
37,7086
37,7271
38,6726
39,6845
40,8001
40,7837
41,7847
42,8142
43,8316
43,8006
44,7886
45,7764
46,8006
46,7391
47,7147
48,6794
49,7141
49,6550
50,6631
51,6480
52,6747
52,6239
53,6076
54,6106
55,6388
55,5904
56,5954
57,5773
58,5911
58,5632
59,5310
60,5350
61,5326
61,5003
62,4899
63,4791
63,4609
64,4457
65,4288
66,4291
66,4021
67,3695
68,3622
69,3677
69,3371
70,3106
71,3109
72,3129
72,2860
73,2660
74,2597
75,2655
75,2472
76,2346
77,2244
78,2344
78,2056
79,1919
80,1900
81,1835
81,1648
82,1618
83,1646
84,1589
84,1421
85,1342
86,1361
87,1313
87,1240
88,1138
89,1227
90,1065
90,1014
91,990
92,927
93,924
93,927
94,828
95,873
95,751
96,751
97,711
98,675
98,676
99,602
100,566
101,601
101,544
102,553
103,505
104,532
104,453
105,462
106,448
107,436
107,395
108,411
109,380
110,387
110,348
111,325
112,356
113,357
113,320
114,292
115,289
116,277
116,269
117,239
118,272
119,264
119,246
120,234
121,231
122,223
122,192
123,219
124,214
125,206
125,163
126,176
127,193
127,181
128,182
129,144
130,162
130,135
131,151
132,146
133,118
133,128
134,116
135,119
136,124
136,109
137,118
138,117
139,102
139,104
140,114
141,94
142,88
142,87
143,79
144,88
145,74
145,76
146,84
147,92
148,70
148,75
149,77
150,79
151,63
151,49
152,67
153,59
154,58
154,48
155,65
156,51
156,46
157,40
158,46
159,62
159,48
160,49
161,45
162,44
162,46
163,29
164,38
165,24
165,33
166,29
167,29
168,41
168,30
169,27
170,29
171,27
171,35
172,26
173,25
174,30
174,24
175,23
176,24
177,22
177,24
178,27
179,31
180,25
180,23
181,26
182,33
183,21
183,18
184,22
185,18
186,20
186,18
187,19
188,20
188,12
189,12
190,19
191,20
191,16
192,11
193,8
194,11
194,17
195,12
196,13
197,17
197,11
198,12
199,13
200,13
200,12
201,11
202,19
203,19
203,15
204,18
205,12
206,10
206,6
207,9
208,13
209,11
209,14
210,13
211,10
212,5
212,12
213,9
214,11
215,13
215,11
216,10
217,10
218,8
218,10
219,11
220,7
220,7
221,11
222,7
223,8
223,6
224,5
225,7
226,6
226,16
227,5
228,5
229,6
229,8
230,12
231,8
232,11
232,11
233,9
234,8
235,10
235,9
236,7
237,6
238,13
238,2
239,6
240,4
241,8
241,5
242,14
243,4
244,6
244,5
245,10
246,9
247,13
247,6
248,9
249,8
250,8
250,8
251,4
252,11
252,6
253,7
254,3
255,9
255,3
256,8
257,6
258,6
258,4
259,10
260,5
261,9
261,5
262,4
263,3
264,4
264,5
265,8
266,5
267,3
267,4
268,6
269,5
270,10
270,6
271,5
272,3
273,3
273,7
274,4
275,1
276,6
276,4
277,5
278,8
279,4
279,5
280,8
281,4
281,1
282,2
283,4
284,4
284,10
285,3
286,3
287,4
287,6
288,3
289,3
290,3
290,5
291,2
292,3
293,3
293,7
295,3
296,2
296,7
297,3
298,1
299,7
299,4
300,3
301,5
302,3
302,2
303,3
304,2
305,1
305,1
306,3
307,3
308,3
308,3
309,6
310,2
311,1
311,4
312,2
313,2
313,1
314,1
315,5
316,3
316,4
317,3
318,2
319,2
320,2
321,3
322,3
322,2
323,3
324,1
325,2
325,5
326,2
327,3
328,5
328,2
329,1
330,1
331,1
331,4
332,4
333,1
334,3
334,2
335,5
337,7
337,1
338,4
339,1
340,1
340,2
341,4
342,2
343,1
343,1
344,3
345,6
346,3
347,4
348,2
348,3
349,3
350,3
351,1
352,2
353,4
354,2
354,5
355,2
356,1
357,1
357,1
358,6
359,4
360,1
361,2
362,2
363,3
363,3
364,1
365,1
366,2
366,2
367,1
369,4
369,1
370,3
371,4
372,4
372,1
373,3
374,2
375,2
375,4
377,2
377,1
379,2
380,2
380,2
381,3
383,1
385,3
386,1
386,2
387,1
388,1
389,1
389,1
390,1
391,4
392,2
393,4
395,2
395,3
396,1
397,5
398,2
398,2
399,3
400,1
401,2
401,1
402,1
404,1
405,1
406,2
406,3
407,2
408,2
409,1
409,1
410,1
411,2
412,2
414,2
415,2
417,1
418,1
419,3
420,2
421,2
421,1
423,2
424,1
425,1
426,2
427,2
427,1
428,2
429,1
430,4
431,2
432,1
433,2
434,1
435,2
436,2
437,1
439,2
440,3
441,1
441,3
442,1
444,1
444,1
445,1
447,1
447,1
448,1
450,1
450,2
451,1
452,1
453,2
453,1
454,1
455,2
456,2
457,1
458,1
459,1
460,2
462,1
462,3
463,2
465,2
465,2
466,1
467,2
468,1
468,1
469,1
470,2
470,3
471,1
473,2
473,1
475,2
476,4
476,2
477,1
478,2
479,3
481,1
482,2
482,1
483,1
484,2
485,1
488,1
488,2
489,1
492,1
494,2
497,3
498,1
502,1
502,2
503,1
504,2
505,1
505,2
508,2
509,2
510,1
511,1
511,4
512,2
513,2
514,2
514,2
516,1
517,1
518,1
519,1
520,2
520,1
523,1
523,2
525,2
526,1
528,1
529,2
530,1
531,1
532,4
534,1
535,2
537,1
540,2
542,1
544,2
546,1
546,1
548,1
549,1
550,3
551,1
553,1
554,3
556,1
558,1
558,1
559,1
561,1
562,2
563,1
563,1
565,1
568,1
569,1
569,1
572,1
575,2
576,1
578,1
581,1
581,3
584,1
585,2
586,1
588,1
589,2
590,1
591,1
592,1
595,1
600,2
601,2
604,2
605,1
606,1
608,1
613,1
613,1
614,1
622,1
622,1
623,1
624,2
625,3
630,1
630,2
633,1
634,1
636,2
640,1
641,1
642,1
642,2
644,1
645,1
647,1
649,1
652,2
653,1
654,1
655,2
656,1
658,1
661,1
662,1
662,1
664,1
666,1
667,1
668,1
671,2
673,1
674,1
677,2
679,1
683,1
684,1
685,2
686,1
686,1
688,2
691,1
693,1
696,1
700,1
701,2
702,1
703,2
704,2
705,1
706,1
706,1
708,1
713,1
714,1
716,1
718,1
720,2
720,1
721,2
723,1
725,1
727,2
731,1
732,1
735,1
735,1
738,2
740,1
741,1
744,1
745,1
747,1
750,1
750,1
754,1
758,1
760,1
762,1
763,1
766,1
768,3
770,1
770,2
771,1
773,1
773,1
776,1
779,1
780,2
781,1
782,1
783,1
785,1
786,1
791,2
793,1
796,1
796,1
798,2
801,1
802,1
803,1
808,1
808,1
813,1
814,2
815,2
817,2
819,1
819,1
822,1
824,1
828,1
831,1
838,2
841,1
843,1
843,1
844,1
850,1
851,1
851,1
852,1
856,1
863,2
867,1
869,1
877,1
878,2
883,1
887,2
890,1
891,1
894,1
898,1
900,1
901,1
904,1
904,1
911,1
918,1
921,1
922,1
924,1
926,1
930,1
933,1
939,1
944,1
946,1
947,1
949,1
955,1
959,1
965,1
965,1
972,1
982,2
986,1
988,1
993,1
1001,1
1005,1
1010,1
1011,1
1014,1
1026,1
1027,1
1040,1
1046,2
1048,1
1053,1
1054,1
1055,1
1066,2
1081,2
1084,1
1087,1
1093,1
1101,1
1110,1
1115,1
1116,1
1117,1
1127,1
1141,1
1146,1
1147,1
1148,1
1152,1
1165,1
1177,1
1187,1
1198,1
1209,1
1213,1
1218,1
1222,1
1228,1
1229,1
1231,1
1232,1
1237,1
1240,1
1241,1
1241,1
1244,2
1244,1
1245,1
1261,1
1264,1
1269,1
1288,1
1315,2
1316,1
1322,1
1325,1
1345,1
1347,1
1350,1
1351,1
1357,1
1372,1
1386,1
1393,1
1404,1
1412,1
