latency_ns,count
7,14285
8,2166374
8,27358388
9,15584877
10,1935561
11,539865
11,2822335
12,10260848
13,20168796
14,15666766
14,5624472
15,1732334
16,559648
17,230625
17,131565
18,72094
19,34304
20,22679
20,16270
21,16484
22,15846
23,8085
23,5479
24,4362
25,3363
26,13436
26,2001
27,3755
28,4134
29,4725
29,5196
30,10727
31,4589
31,13694
32,3371
33,3827
34,2044
34,2265
35,2375
36,2382
37,1638
37,1641
38,1155
39,781
40,996
40,1510
41,695
42,650
43,426
43,503
44,325
45,384
46,264
46,360
47,251
48,497
49,414
49,521
50,301
51,341
52,741
52,154
53,166
54,150
55,172
55,146
56,167
57,174
58,171
58,162
59,227
60,210
61,214
61,210
62,231
63,224
63,277
64,266
65,285
66,327
66,348
67,364
68,306
69,293
69,296
70,294
71,230
72,263
72,213
73,253
74,251
75,245
75,246
76,229
77,162
78,248
78,160
79,166
80,201
81,155
81,197
82,162
83,180
84,222
84,170
85,245
86,244
87,280
87,320
88,302
89,312
90,334
90,376
91,384
92,447
93,552
93,680
94,717
95,729
95,793
96,831
97,858
98,908
98,935
99,992
100,1030
101,1174
101,1170
102,1097
103,1107
104,1110
104,946
105,835
106,746
107,713
107,666
108,618
109,635
110,534
110,463
111,402
112,347
113,352
113,238
114,227
115,190
116,158
116,155
117,123
118,131
119,114
119,122
120,107
121,95
122,95
122,71
123,90
124,69
124,59
125,70
126,80
127,65
127,59
128,67
129,47
130,69
130,54
131,44
132,47
133,59
133,60
134,48
135,60
136,46
136,63
137,37
138,45
139,38
139,43
140,46
141,58
142,60
142,47
143,66
144,52
145,42
145,41
146,57
147,53
148,47
148,47
149,45
150,53
151,42
151,30
152,35
153,43
154,39
154,33
155,32
156,46
156,40
157,26
158,36
159,41
159,32
160,28
161,30
162,32
162,34
163,35
164,41
165,35
165,32
166,39
167,38
168,41
168,31
169,34
170,35
171,43
171,35
172,54
173,57
174,55
174,87
175,79
176,93
177,78
177,44
178,98
179,56
180,81
180,69
181,117
182,268
183,99
183,84
184,76
185,71
186,74
186,70
187,69
188,70
188,59
189,63
190,51
191,50
191,49
192,58
193,40
194,46
194,58
195,44
196,55
197,48
197,50
198,40
199,31
200,40
200,34
201,41
202,41
203,47
203,40
204,35
205,41
206,37
206,28
207,38
208,27
209,34
209,30
210,39
211,35
212,29
212,30
213,28
214,38
215,33
215,32
216,25
217,22
218,24
218,16
219,24
220,28
220,29
221,18
222,25
223,22
223,14
224,22
225,25
226,37
226,24
227,30
228,28
229,16
229,19
230,35
231,20
232,14
232,26
233,25
234,24
235,22
235,25
236,36
237,40
238,33
238,39
239,28
240,37
241,28
241,25
242,29
243,35
244,39
244,26
245,19
246,31
247,26
247,16
248,32
249,17
249,33
250,25
251,28
252,25
252,19
253,15
254,28
255,13
255,26
256,21
257,18
258,20
258,17
259,19
260,13
261,16
261,25
262,20
263,11
264,14
264,18
265,15
266,9
267,5
267,6
268,11
269,8
270,12
270,7
271,8
272,5
273,4
273,9
274,7
275,6
276,8
276,4
277,3
278,9
279,8
279,10
280,14
281,9
281,14
282,11
283,5
284,4
284,8
285,10
286,8
287,3
287,8
288,7
289,7
290,5
290,3
291,9
292,5
293,4
293,7
294,3
295,3
296,8
297,1
298,2
299,3
299,2
300,3
301,8
302,1
303,3
304,2
305,2
305,4
306,6
307,2
308,2
308,2
309,7
310,3
311,5
313,3
314,1
315,2
316,3
316,1
318,1
319,1
319,2
320,1
321,2
322,3
322,1
323,1
324,3
325,1
326,2
327,1
328,2
328,4
329,1
330,2
331,1
331,1
332,1
334,3
334,2
335,1
336,2
337,2
338,5
339,1
340,2
341,2
342,3
343,4
344,1
345,3
345,2
346,2
348,2
348,3
349,1
350,2
351,1
351,1
352,2
353,2
354,3
356,1
357,1
358,2
359,2
360,2
360,2
361,1
362,3
363,3
364,1
365,2
366,2
368,2
370,1
371,1
372,2
372,1
373,1
375,3
377,1
380,2
381,1
382,1
383,1
385,1
386,1
386,2
387,2
388,1
389,2
392,1
393,2
394,2
395,3
395,4
396,1
397,2
398,1
401,2
401,1
402,1
403,2
404,1
405,1
409,1
409,2
410,1
411,1
412,2
415,2
416,1
418,1
419,1
421,3
421,1
423,1
424,2
425,1
426,2
427,2
428,1
430,1
430,2
431,2
432,1
433,1
434,1
436,1
436,1
437,3
438,1
439,1
440,1
443,2
444,1
446,1
447,1
447,1
451,1
452,1
454,1
457,3
459,1
461,1
462,1
462,1
463,1
464,1
465,3
467,2
468,1
468,3
470,1
470,1
473,1
474,1
475,1
476,2
476,1
477,1
478,1
479,2
482,2
483,2
485,1
486,1
487,1
488,3
488,2
490,1
491,1
492,2
494,2
494,4
495,1
496,1
497,1
498,1
499,1
499,2
501,1
502,3
503,2
505,2
506,1
509,3
510,1
511,3
513,1
514,4
514,3
515,1
516,1
517,1
518,2
520,2
521,3
523,1
525,1
526,1
526,2
527,1
529,2
529,1
531,1
531,2
532,3
533,1
535,2
536,1
537,1
538,3
539,1
540,3
540,1
541,2
542,1
543,2
544,2
545,2
546,2
548,3
549,2
551,2
552,3
555,3
555,1
557,4
558,1
559,3
561,2
562,1
563,1
563,4
564,2
565,3
566,3
566,1
568,3
569,2
569,3
570,2
572,1
572,4
573,2
574,3
575,2
575,2
576,2
579,1
580,1
581,1
581,1
582,2
583,2
584,1
585,2
587,1
587,1
588,1
589,1
590,2
591,2
592,3
595,1
595,1
596,1
597,2
598,2
600,4
601,2
601,1
604,2
605,1
607,2
608,2
609,1
611,2
615,2
616,1
618,1
